Source,Target,Type,Label
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,rsa-2048,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,ed25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,ecdsa_secp256r1,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,ecdsa_secp384r1,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,rsa-2048,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,ed448,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / ed448,shake256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,Directed,negotiates
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,chacha20,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,sha-256,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,rsa-2048,Directed,uses
ecdh_x25519 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,rsa-2048,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,ed25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed25519,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,ecdsa_secp256r1,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,ecdsa_secp384r1,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,rsa-2048,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,ed448,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / ed448,shake256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,Directed,negotiates
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,ecdh_x25519,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,aes-256,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,sha-384,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,rsa-2048,Directed,uses
ecdh_x25519 / TLS_AES_256_GCM_SHA384 / rsa_pss_rsae_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,rsa-2048,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,ed25519,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed25519,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,ecdsa_secp256r1,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,ecdsa_secp384r1,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,rsa-2048,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,ed448,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / ed448,shake256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,Directed,negotiates
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,aes-128,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,sha-256,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,rsa-2048,Directed,uses
ffdhe8192 / TLS_AES_128_GCM_SHA256 / rsa_pss_rsae_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,rsa-2048,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,ed25519,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed25519,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,ecdsa_secp256r1,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp256r1_sha256,sha-256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,ecdsa_secp384r1,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ecdsa_secp384r1_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,rsa-2048,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha384,sha-384,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,ed448,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / ed448,shake256,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,Directed,negotiates
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,chacha20,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,sha-256,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,rsa-2048,Directed,uses
ffdhe8192 / TLS_CHACHA20_POLY1305_SHA256 / rsa_pss_rsae_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
OpenSSL 3.0.17,ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,Directed,negotiates
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,ffdhe8192_supported,Directed,uses
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,aes-256,Directed,uses
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,sha-384,Directed,uses
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,ecdsa_secp521r1,Directed,uses
ffdhe8192 / TLS_AES_256_GCM_SHA384 / ecdsa_secp521r1_sha512,sha-512,Directed,uses
Local_Research_Node,Data In Transit,Directed,contains
Data In Transit,TLS 1.3,Directed,carries
TLS 1.3,OpenSSL 3.0.17,Directed,implemented_by
